match_num,round_num,team_home,team_away,week_day,time,stadium,referee_name
1,1,Flamengo - RJ,Goiás - GO,Domingo,18:30,Mané Garrincha - Brasilia - DF,anderson_daronco
2,1,Fluminense - RJ,Figueirense - SC,Sábado,18:30,Maracanã - Rio de Janeiro - RJ,ricardo_marques_ribeiro
3,1,São Paulo - SP,Botafogo - RJ,Domingo,16:00,Morumbi - Sao Paulo - SP,wilton_pereira_sampaio
4,1,Santos - SP,Sport - PE,Domingo,18:30,Vila Belmiro - Santos - SP,arilson_bispo_da_anunciacao
5,1,Atlético - PR,Grêmio - RS,Domingo,16:00,Orlando Scarpelli - Florianopolis - SC,marcelo_de_lima_henrique
6,1,Atlético - MG,Corinthians - SP,Domingo,16:00,João Havelange - Uberlandia - MG,heber_roberto_lopes
7,1,Bahia - BA,Cruzeiro - MG,Domingo,16:00,Fonte Nova - Salvador - BA,luiz_flavio_de_oliveira
8,1,Internacional - RS,Vitória - BA,Sábado,18:30,Beira-Rio - Porto Alegre - RS,raphael_claus
9,1,Criciuma - SC,Palmeiras - SP,Domingo,18:30,Heriberto Hulse - Criciuma - SC,andre_luiz_de_freitas_castro
10,1,Chapecoense - SC,Coritiba - PR,Sábado,21:00,Arena Condá - Chapeco - SC,rodrigo_nunes_de_sa
11,2,Botafogo - RJ,Internacional - RS,Domingo,16:00,Maracanã - Rio de Janeiro - RJ,jailson_macedo_freitas
12,2,Sport - PE,Chapecoense - SC,Domingo,18:30,Ilha do Retiro - Recife - PE,francisco_de_assis_almeida_filho
13,2,Corinthians - SP,Flamengo - RJ,Domingo,16:00,Pacaembu - Sao Paulo - SP,leandro_pedro_vuaden
14,2,Palmeiras - SP,Fluminense - RJ,Sábado,21:00,Pacaembu - Sao Paulo - SP,dewson_fernando_freitas_da_silva
15,2,Coritiba - PR,Santos - SP,Sábado,18:30,Couto Pereira - Curitiba - PR,emerson_de_almeida_ferreira
16,2,Cruzeiro - MG,São Paulo - SP,Domingo,16:00,João Havelange - Uberlandia - MG,wagner_do_nascimento_magalhaes
17,2,Vitória - BA,Atlético - PR,Domingo,16:00,Pituaçu - Salvador - BA,francisco_carlos_do_nascimento
18,2,Grêmio - RS,Atlético - MG,Domingo,18:30,Arena do Grêmio - Porto Alegre - RS,wagner_reway
19,2,Figueirense - SC,Bahia - BA,Domingo,18:30,Arena Barueri - Barueri - SP,sandro_meira_ricci
20,2,Goiás - GO,Criciuma - SC,Domingo,18:30,Juscelino Kubitschek - Itumbiara - GO,renan_roberto_de_souza
21,3,Flamengo - RJ,Palmeiras - SP,Domingo,16:00,Maracanã - Rio de Janeiro - RJ,paulo_h_godoy_bezerra
22,3,Fluminense - RJ,Vitória - BA,Sábado,21:00,Maracanã - Rio de Janeiro - RJ,marcos_andre_gomes_da_penha
23,3,São Paulo - SP,Coritiba - PR,Sábado,18:30,Pacaembu - Sao Paulo - SP,claudio_francisco_lima_e_silva
24,3,Santos - SP,Grêmio - RS,Sábado,18:30,Vila Belmiro - Santos - SP,ricardo_marques_ribeiro
25,3,Atlético - PR,Cruzeiro - MG,Sábado,18:30,Mané Garrincha - Brasilia - DF,elmo_alves_resende_cunha
26,3,Atlético - MG,Goiás - GO,Domingo,18:30,Independência - Belo Horizonte - MG,marcelo_de_lima_henrique
27,3,Bahia - BA,Botafogo - RJ,Domingo,16:00,Fonte Nova - Salvador - BA,raphael_claus
28,3,Internacional - RS,Sport - PE,Domingo,16:00,Beira-Rio - Porto Alegre - RS,pablo_dos_santos_alves
29,3,Criciuma - SC,Figueirense - SC,Domingo,16:00,Heriberto Hulse - Criciuma - SC,braulio_da_silva_machado
30,3,Chapecoense - SC,Corinthians - SP,Domingo,18:30,Arena Condá - Chapeco - SC,wagner_reway
31,4,Botafogo - RJ,Criciuma - SC,Sábado,21:00,Maracanã - Rio de Janeiro - RJ,claudio_francisco_lima_e_silva
32,4,Fluminense - RJ,Flamengo - RJ,Domingo,16:00,Maracanã - Rio de Janeiro - RJ,wagner_do_nascimento_magalhaes
33,4,São Paulo - SP,Corinthians - SP,Domingo,16:00,Arena Barueri - Barueri - SP,raphael_claus
34,4,Palmeiras - SP,Goiás - GO,Sábado,18:30,Pacaembu - Sao Paulo - SP,felipe_gomes_da_silva
35,4,Coritiba - PR,Sport - PE,Domingo,18:30,Couto Pereira - Curitiba - PR,jean_pierre_goncalves_lima
36,4,Atlético - MG,Cruzeiro - MG,Domingo,16:00,Independência - Belo Horizonte - MG,heber_roberto_lopes
37,4,Bahia - BA,Vitória - BA,Domingo,18:30,Fonte Nova - Salvador - BA,wilton_pereira_sampaio
38,4,Internacional - RS,Atlético - PR,Sábado,18:30,Beira-Rio - Porto Alegre - RS,sandro_meira_ricci
39,4,Figueirense - SC,Santos - SP,Domingo,18:30,Do Café - Londrina - PR,francisco_carlos_do_nascimento
40,4,Chapecoense - SC,Grêmio - RS,Domingo,16:00,Arena Condá - Chapeco - SC,dewson_fernando_freitas_da_silva
41,5,Flamengo - RJ,São Paulo - SP,Domingo,16:00,Maracanã - Rio de Janeiro - RJ,ricardo_marques_ribeiro
42,5,Sport - PE,Bahia - BA,Quarta,21:00,Ilha do Retiro - Recife - PE,marcelo_aparecido_r_de_souza
43,5,Corinthians - SP,Figueirense - SC,Domingo,16:00,Arena Corinthians - Sao Paulo - SP,jailson_macedo_freitas
44,5,Santos - SP,Atlético - MG,Domingo,18:30,Arena Pantanal - Cuiaba - MT,pericles_bassols_pegado_cortez
45,5,Atlético - PR,Chapecoense - SC,Domingo,16:00,Willie Davids - Maringa - PR,grazianni_maciel_rocha
46,5,Cruzeiro - MG,Coritiba - PR,Sábado,18:30,Mineirão - Belo Horizonte - MG,andre_luiz_de_freitas_castro
47,5,Vitória - BA,Palmeiras - SP,Domingo,18:30,Pituaçu - Salvador - BA,leandro_pedro_vuaden
48,5,Grêmio - RS,Fluminense - RJ,Domingo,16:00,Arena do Grêmio - Porto Alegre - RS,sandro_meira_ricci
49,5,Criciuma - SC,Internacional - RS,Domingo,18:30,Heriberto Hulse - Criciuma - SC,raphael_claus
50,5,Goiás - GO,Botafogo - RJ,Quarta,22:00,Mário Helênio - Juiz de Fora - MG,ricardo_marques_ribeiro
51,6,Flamengo - RJ,Bahia - BA,Quarta,19:30,Cláudio Moacyr - Macae - RJ,gilberto_rodrigues_castro_junior
52,6,Fluminense - RJ,São Paulo - SP,Quarta,22:00,Maracanã - Rio de Janeiro - RJ,paulo_h_godoy_bezerra
53,6,Corinthians - SP,Atlético - PR,Quarta,22:00,Canindé - Sao Paulo - SP,marcelo_de_lima_henrique
54,6,Palmeiras - SP,Figueirense - SC,Quinta,19:30,Fonte Luminosa - Araraquara - SP,paulo_h_schleich_vollkopf
55,6,Coritiba - PR,Internacional - RS,Quarta,19:30,Couto Pereira - Curitiba - PR,elmo_alves_resende_cunha
56,6,Cruzeiro - MG,Sport - PE,Quarta,21:00,Mineirão - Belo Horizonte - MG,felipe_gomes_da_silva
57,6,Vitória - BA,Atlético - MG,Quinta,21:00,Jóia da Princesa - Feira de Santana - BA,vinicius_furlan
58,6,Grêmio - RS,Botafogo - RJ,Quarta,22:00,Alfredo Jaconi - Caxias do Sul - RS,flavio_rodrigues_de_souza
59,6,Criciuma - SC,Chapecoense - SC,Quarta,21:00,Heriberto Hulse - Criciuma - SC,heber_roberto_lopes
60,6,Goiás - GO,Santos - SP,Quinta,19:30,Serra Dourada - Goiania - GO,igor_junio_benevenuto
61,7,Botafogo - RJ,Vitória - BA,Domingo,18:30,Cláudio Moacyr - Macae - RJ,dewson_fernando_freitas_da_silva
62,7,Sport - PE,Corinthians - SP,Domingo,16:00,Ilha do Retiro - Recife - PE,pericles_bassols_pegado_cortez
63,7,São Paulo - SP,Grêmio - RS,Sábado,21:00,Morumbi - Sao Paulo - SP,wilton_pereira_sampaio
64,7,Santos - SP,Flamengo - RJ,Domingo,16:00,Morumbi - Sao Paulo - SP,jailson_macedo_freitas
65,7,Atlético - PR,Coritiba - PR,Domingo,16:00,Willie Davids - Maringa - PR,edivaldo_elias_da_silva
66,7,Atlético - MG,Criciuma - SC,Domingo,18:30,João Lamego - Ipatinga - MG,wagner_do_nascimento_magalhaes
67,7,Bahia - BA,Fluminense - RJ,Sábado,18:30,Arena Barueri - Barueri - SP,ricardo_marques_ribeiro
68,7,Internacional - RS,Cruzeiro - MG,Domingo,18:30,Centenário - Caxias do Sul - RS,paulo_h_godoy_bezerra
69,7,Figueirense - SC,Goiás - GO,Domingo,16:00,Orlando Scarpelli - Florianopolis - SC,nielson_nogueira_dias
70,7,Chapecoense - SC,Palmeiras - SP,Domingo,18:30,Arena Condá - Chapeco - SC,emerson_de_almeida_ferreira
71,8,Flamengo - RJ,Figueirense - SC,Quinta,19:30,Morumbi - Sao Paulo - SP,thiago_duarte_peixoto
72,8,Sport - PE,Grêmio - RS,Quarta,19:30,Ilha do Retiro - Recife - PE,marcelo_de_lima_henrique
73,8,Corinthians - SP,Cruzeiro - MG,Quarta,22:00,Canindé - Sao Paulo - SP,dewson_fernando_freitas_da_silva
74,8,Palmeiras - SP,Botafogo - RJ,Quarta,19:30,Paulo Constantino - Presidente Prudente - SP,heber_roberto_lopes
75,8,Atlético - PR,São Paulo - SP,Quarta,22:00,João Havelange - Uberlandia - MG,anderson_daronco
76,8,Atlético - MG,Fluminense - RJ,Quarta,22:00,João Lamego - Ipatinga - MG,raphael_claus
77,8,Bahia - BA,Santos - SP,Quinta,21:00,Jóia da Princesa - Feira de Santana - BA,wagner_reway
78,8,Internacional - RS,Chapecoense - SC,Quarta,21:00,Centenário - Caxias do Sul - RS,felipe_gomes_da_silva
79,8,Criciuma - SC,Coritiba - PR,Quarta,19:30,Heriberto Hulse - Criciuma - SC,marcelo_aparecido_r_de_souza
80,8,Goiás - GO,Vitória - BA,Quarta,21:00,Serra Dourada - Goiania - GO,jean_pierre_goncalves_lima
81,9,Botafogo - RJ,Corinthians - SP,Sábado,18:30,Arena da Amazônia - Manaus - AM,andre_luiz_de_freitas_castro
82,9,Fluminense - RJ,Internacional - RS,Domingo,18:30,Cláudio Moacyr - Macae - RJ,wilton_pereira_sampaio
83,9,São Paulo - SP,Atlético - MG,Sábado,18:30,Morumbi - Sao Paulo - SP,pericles_bassols_pegado_cortez
84,9,Santos - SP,Criciuma - SC,Domingo,18:30,1º de Maio - Sao Bernardo do Campo - SP,paulo_h_schleich_vollkopf
85,9,Coritiba - PR,Goiás - GO,Sábado,18:30,Durival Britto - Curitiba - PR,pablo_dos_santos_alves
86,9,Cruzeiro - MG,Flamengo - RJ,Domingo,16:00,João Havelange - Uberlandia - MG,luiz_flavio_de_oliveira
87,9,Vitória - BA,Sport - PE,Sábado,21:00,Jóia da Princesa - Feira de Santana - BA,paulo_h_godoy_bezerra
88,9,Grêmio - RS,Palmeiras - SP,Domingo,16:00,Alfredo Jaconi - Caxias do Sul - RS,jailson_macedo_freitas
89,9,Figueirense - SC,Atlético - PR,Domingo,18:30,Orlando Scarpelli - Florianopolis - SC,raphael_claus
90,9,Chapecoense - SC,Bahia - BA,Domingo,16:00,Arena Condá - Chapeco - SC,igor_junio_benevenuto
91,10,Flamengo - RJ,Atlético - PR,Quarta,22:00,Cláudio Moacyr - Macae - RJ,paulo_h_godoy_bezerra
92,10,Sport - PE,Botafogo - RJ,Quarta,19:30,Ilha do Retiro - Recife - PE,francisco_carlos_do_nascimento
93,10,Corinthians - SP,Internacional - RS,Quinta,19:30,Arena Corinthians - Sao Paulo - SP,wagner_reway
94,10,Santos - SP,Palmeiras - SP,Quinta,19:30,Vila Belmiro - Santos - SP,raphael_claus
95,10,Coritiba - PR,Figueirense - SC,Quarta,19:30,Couto Pereira - Curitiba - PR,charles_hebert_cavalcante_ferreira
96,10,Cruzeiro - MG,Vitória - BA,Quinta,21:00,Mineirão - Belo Horizonte - MG,pericles_bassols_pegado_cortez
97,10,Bahia - BA,São Paulo - SP,Quarta,22:00,Fonte Nova - Salvador - BA,dewson_fernando_freitas_da_silva
98,10,Grêmio - RS,Goiás - GO,Quarta,19:30,Arena do Grêmio - Porto Alegre - RS,luiz_flavio_de_oliveira
99,10,Criciuma - SC,Fluminense - RJ,Quarta,22:00,Heriberto Hulse - Criciuma - SC,rodrigo_batista_raposo
100,10,Chapecoense - SC,Atlético - MG,Quarta,21:00,Arena Condá - Chapeco - SC,wilton_pereira_sampaio
101,11,Botafogo - RJ,Coritiba - PR,Sábado,21:00,Raulino de Oliveira - Volta Redonda - RJ,nielson_nogueira_dias
102,11,Fluminense - RJ,Santos - SP,Domingo,18:30,Raulino de Oliveira - Volta Redonda - RJ,leandro_pedro_vuaden
103,11,São Paulo - SP,Chapecoense - SC,Sábado,18:30,Morumbi - Sao Paulo - SP,felipe_gomes_da_silva
104,11,Palmeiras - SP,Cruzeiro - MG,Domingo,16:00,Pacaembu - Sao Paulo - SP,wilton_pereira_sampaio
105,11,Atlético - PR,Criciuma - SC,Domingo,18:30,Arena da Baixada - Curitiba - PR,claudio_francisco_lima_e_silva
106,11,Atlético - MG,Bahia - BA,Sábado,18:30,Independência - Belo Horizonte - MG,vinicius_furlan
107,11,Vitória - BA,Corinthians - SP,Domingo,16:00,Manoel Barradas - Salvador - BA,heber_roberto_lopes
108,11,Internacional - RS,Flamengo - RJ,Domingo,16:00,Beira-Rio - Porto Alegre - RS,sandro_meira_ricci
109,11,Figueirense - SC,Grêmio - RS,Sábado,18:30,Orlando Scarpelli - Florianopolis - SC,marcelo_de_lima_henrique
110,11,Goiás - GO,Sport - PE,Domingo,18:30,Serra Dourada - Goiania - GO,pericles_bassols_pegado_cortez
111,12,Flamengo - RJ,Botafogo - RJ,Domingo,18:30,Maracanã - Rio de Janeiro - RJ,wilton_pereira_sampaio
112,12,Sport - PE,Atlético - MG,Domingo,16:00,Ilha do Retiro - Recife - PE,thiago_duarte_peixoto
113,12,Corinthians - SP,Palmeiras - SP,Domingo,16:00,Arena Corinthians - Sao Paulo - SP,sandro_meira_ricci
114,12,Santos - SP,Chapecoense - SC,Sábado,18:30,Vila Belmiro - Santos - SP,pericles_bassols_pegado_cortez
115,12,Atlético - PR,Fluminense - RJ,Domingo,16:00,Arena da Baixada - Curitiba - PR,luiz_flavio_de_oliveira
116,12,Cruzeiro - MG,Figueirense - SC,Sábado,18:30,Mineirão - Belo Horizonte - MG,gilberto_rodrigues_castro_junior
117,12,Bahia - BA,Internacional - RS,Sábado,21:00,Fonte Nova - Salvador - BA,heber_roberto_lopes
118,12,Grêmio - RS,Coritiba - PR,Domingo,18:30,Arena do Grêmio - Porto Alegre - RS,ricardo_marques_ribeiro
119,12,Criciuma - SC,Vitória - BA,Sábado,18:30,Heriberto Hulse - Criciuma - SC,marcelo_de_lima_henrique
120,12,Goiás - GO,São Paulo - SP,Domingo,16:00,Serra Dourada - Goiania - GO,leandro_pedro_vuaden
121,13,Botafogo - RJ,Cruzeiro - MG,Sábado,18:30,Maracanã - Rio de Janeiro - RJ,luiz_flavio_de_oliveira
122,13,Fluminense - RJ,Goiás - GO,Domingo,18:30,Maracanã - Rio de Janeiro - RJ,heber_roberto_lopes
123,13,São Paulo - SP,Criciuma - SC,Sábado,18:30,Morumbi - Sao Paulo - SP,ricardo_marques_ribeiro
124,13,Palmeiras - SP,Bahia - BA,Domingo,16:00,Pacaembu - Sao Paulo - SP,marcelo_de_lima_henrique
125,13,Coritiba - PR,Corinthians - SP,Domingo,16:00,Couto Pereira - Curitiba - PR,leandro_pedro_vuaden
126,13,Atlético - MG,Atlético - PR,Domingo,18:30,Independência - Belo Horizonte - MG,dewson_fernando_freitas_da_silva
127,13,Vitória - BA,Grêmio - RS,Sábado,21:00,Manoel Barradas - Salvador - BA,sandro_meira_ricci
128,13,Internacional - RS,Santos - SP,Domingo,18:30,Beira-Rio - Porto Alegre - RS,wilton_pereira_sampaio
129,13,Figueirense - SC,Sport - PE,Domingo,16:00,Orlando Scarpelli - Florianopolis - SC,jailson_macedo_freitas
130,13,Chapecoense - SC,Flamengo - RJ,Domingo,16:00,Arena Condá - Chapeco - SC,raphael_claus
131,14,Flamengo - RJ,Sport - PE,Domingo,16:00,Maracanã - Rio de Janeiro - RJ,emerson_de_almeida_ferreira
