round_num,player_id,player_name,player_nickname,position,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price
1,81121,,Lucas Mugni,MEI,262,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,-2.3,-2.21
1,68873,,Paulo Victor,GOL,262,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,2,0,1.4,0.06
1,37993,,Almir,MEI,262,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1.5,-0.07
1,68962,,Arthur Maia,MEI,262,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2.4,0.64
1,50453,,Anderson Pico,LAT,262,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,1.8,-0.04
1,72491,,Bressan,ZAG,262,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0.4,-1.15
1,72491,,Bressan,ZAG,262,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0.4,-1.15
1,73515,,Gabriel,MEI,262,0,0,0,1,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0.6,-0.99
1,62086,,Pará,LAT,262,0,0,0,0,0,2,0,0,2,0,0,0,2,0,0,0,0,2,2.8,0.54
1,72893,,Eduardo Da Silva,ATA,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.67
1,85586,,Jonas,MEI,262,0,0,0,0,0,2,0,0,3,0,0,0,5,0,0,0,0,3,7.1,3.94
1,41327,,Vanderlei Luxemburgo,TEC,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,-0.35
1,41327,,Vanderlei Luxemburgo,TEC,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46,-0.35
1,68958,,Wallace,ZAG,262,0,0,0,1,0,0,0,0,1,0,0,0,3,0,0,0,0,1,5.3,1.89
1,73918,,Canteros,MEI,262,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,2,-0.7,-3.48
1,69022,,Marcelo Cirino,ATA,262,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,-1.4,-4.24
1,50301,,Everton,MEI,262,1,0,0,1,0,2,0,3,5,0,0,0,1,0,0,0,0,1,8.2,1.68
1,77556,,Bruno,GOL,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-4.0,-2.21
1,77556,,Bruno,GOL,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-4.0,-2.21
1,91575,,Mateus Oliveira,ATA,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.63
1,91575,,Mateus Oliveira,ATA,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.63
1,77500,,Yago,ZAG,264,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4.0,2.33
1,38523,,Edílson,LAT,264,0,1,0,0,0,1,0,0,1,1,0,0,2,0,0,1,0,4,9.6,6.55
1,63005,,Welinton,ZAG,264,0,0,0,0,1,4,0,0,8,0,0,0,1,0,0,0,0,0,2.0,0.54
1,63005,,Welinton,ZAG,264,0,0,0,0,1,4,0,0,8,0,0,0,1,0,0,0,0,0,2.0,0.54
1,81031,,Marquinhos Santos,TEC,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,-0.04
1,81031,,Marquinhos Santos,TEC,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27,-0.04
1,82503,,Rodolfo,MEI,264,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.2,-0.89
1,82503,,Rodolfo,MEI,264,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.2,-0.89
1,88323,,Ángel Romero,ATA,264,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,6.9,4.41
1,37657,,Edu Dracena,ZAG,264,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,5.2,2.86
1,56102,,João Paulo,MEI,264,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,1,0.8,-0.62
1,56102,,João Paulo,MEI,264,0,0,0,0,0,0,0,0,7,0,0,0,2,0,0,0,0,1,0.8,-0.62
1,60852,,Uendel,LAT,264,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,1,8.4,5.39
1,71844,,Thiago Galhardo,MEI,264,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.8,-1.89
1,71844,,Thiago Galhardo,MEI,264,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,-0.8,-1.89
1,51681,,Hélder,MEI,264,0,0,1,1,0,2,0,0,2,0,0,0,1,0,0,1,0,3,3.1,0.99
1,51681,,Hélder,MEI,264,0,0,1,1,0,2,0,0,2,0,0,0,1,0,0,1,0,3,3.1,0.99
1,70944,,Bruno Henrique,MEI,264,0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,2,-1.4,-2.57
1,90031,,Mendoza,ATA,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.46
1,63194,,Carlinhos,LAT,264,0,0,0,0,1,3,0,0,3,0,0,0,1,0,0,0,0,4,1.0,-0.88
1,63194,,Carlinhos,LAT,264,0,0,0,0,1,3,0,0,3,0,0,0,1,0,0,0,0,4,1.0,-0.88
1,70929,,Negueba,ATA,264,0,0,0,1,2,0,0,0,7,0,0,0,0,0,0,0,0,1,-0.2,-1.83
1,70929,,Negueba,ATA,264,0,0,0,1,2,0,0,0,7,0,0,0,0,0,0,0,0,1,-0.2,-1.83
1,80374,,Norberto ,LAT,264,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0.1,-1.59
1,80374,,Norberto ,LAT,264,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,1,0.1,-1.59
1,88056,,Malcom,ATA,264,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,1.1,-0.8
1,37608,,Cristian,MEI,264,0,0,0,1,0,1,0,0,5,0,0,0,3,0,0,0,0,1,4.6,1.76
1,73465,,Luccas Claro,ZAG,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.88
1,73465,,Luccas Claro,ZAG,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-1.88
1,50877,,Pedro Ken,MEI,264,0,0,0,0,1,3,0,0,1,0,0,0,3,0,0,0,0,4,5.0,1.86
1,50877,,Pedro Ken,MEI,264,0,0,0,0,1,3,0,0,1,0,0,0,3,0,0,0,0,4,5.0,1.86
1,78891,,Petros,MEI,264,0,0,0,0,0,1,0,0,5,0,0,0,3,0,0,0,0,1,3.6,0.76
1,38959,,Vagner Love,ATA,264,0,0,0,0,1,3,0,2,3,0,0,0,1,0,0,0,0,2,1.0,-1.51
1,38067,,Danilo,MEI,264,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0.1,-2.85
1,50462,,Leandro Almeida,ZAG,264,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,5,-2.1,-4.59
1,50462,,Leandro Almeida,ZAG,264,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,5,-2.1,-4.59
1,50462,,Leandro Almeida,ZAG,264,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,5,-2.1,-4.59
1,45125,,Tite,TEC,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.31,0.27
1,42234,,Cássio,GOL,264,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,4.1,-0.31
1,68744,,Emerson,ATA,264,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0.2,-3.81
1,68744,,Emerson,ATA,264,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0.2,-3.81
1,82456,,Rafhael Lucas,ATA,264,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,8.9,2.86
1,82456,,Rafhael Lucas,ATA,264,1,0,0,1,0,2,0,0,2,0,0,0,0,0,0,0,0,1,8.9,2.86
1,85121,,Robert ,MEI,266,0,0,0,1,1,1,0,0,3,0,0,0,0,0,0,0,0,0,1.3,-0.02
1,38440,,Pierre,MEI,266,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2,1.4,-0.15
1,71162,,Vinícius,MEI,266,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,7.0,4.07
1,62139,,Ricardo Drubscky,TEC,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.67,3.61
1,72097,,Giovanni,LAT,266,0,0,0,1,1,2,0,0,3,1,0,0,2,0,0,0,0,0,10.2,6.4
1,71892,,Wellington Silva,LAT,266,0,0,0,0,1,1,0,0,6,1,0,0,2,0,0,0,0,0,7.8,4.08
1,38431,,Diego Cavalieri,GOL,266,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,1.66
1,37674,,Wagner,MEI,266,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,2,-1.6,-3.77
1,84791,,Kenedy,ATA,266,0,0,0,2,1,3,0,1,1,0,0,0,0,0,0,0,0,1,2.9,-0.42
1,80538,,Marlon,ZAG,266,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11.7,6.33
1,68887,,Gum,ZAG,266,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,5.9,1.53
1,80370,,Edson,MEI,266,0,0,1,0,1,3,0,0,4,0,0,0,5,0,0,0,0,2,12.0,5.94
1,89256,,Gerson,MEI,266,0,0,0,1,0,2,0,0,4,0,0,0,1,0,0,0,0,0,2.5,-1.78
1,62047,,Jean,MEI,266,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,4.2,-0.86
1,38162,,Fred,ATA,266,0,0,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3.1,-3.82
1,82499,,Christiano ,LAT,267,0,0,0,0,1,4,0,0,2,1,0,0,0,0,0,1,0,3,3.6,2.01
1,61188,,Gilberto,ATA,267,0,0,0,0,2,3,0,0,2,0,0,0,0,0,0,0,0,0,2.3,0.77
1,86725,,Rafael Silva,ATA,267,0,0,0,0,0,2,0,0,2,0,0,0,1,0,0,0,0,1,1.6,0.22
1,79584,,Yago,ATA,267,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,2.0,0.33
1,79343,,Doriva,TEC,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14,1.02
1,79343,,Doriva,TEC,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14,1.02
1,79343,,Doriva,TEC,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14,1.02
1,38763,,Marcinho,MEI,267,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0.9,-0.96
1,50454,,Serginho,MEI,267,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,0,0,0,0.0,-1.67
