round_num,player_id,player_name,player_nickname,position_id,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price
14,78895,,Marcelo,3,262,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,2,6.4,1.35
14,88065,,Jorge,2,262,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,0,0,1,9.3,1.69
14,78086,,César,1,262,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,8.0,2.3
14,68962,,Arthur Maia,4,262,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,0,0,1,-0.7,-0.57
14,73515,,Gabriel,4,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,-0.01
14,38311,,Márcio Araújo,4,262,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,4.5,0.92
14,41327,,Vanderlei Luxemburgo,6,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,-0.25
14,41327,,Vanderlei Luxemburgo,6,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.65,-0.25
14,68958,,Wallace,3,262,0,0,1,0,0,1,0,0,2,1,0,0,2,0,0,0,0,0,11.8,1.66
14,73918,,Canteros,4,262,0,0,0,1,0,0,0,0,2,0,0,0,4,0,0,0,0,2,6.2,1.37
14,69022,,Marcelo Cirino,5,262,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,-0.1,-0.67
14,50301,,Everton,4,262,0,0,0,2,0,1,0,1,1,0,0,0,2,0,0,0,0,1,4.6,0.97
14,73991,,Walisson,3,294,0,0,0,0,0,2,0,0,2,1,0,0,3,0,0,0,0,0,10.5,1.85
14,73991,,Walisson,3,294,0,0,0,0,0,2,0,0,2,1,0,0,3,0,0,0,0,0,10.5,1.85
14,91388,,Rodrigo Ramos,2,294,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4.7,0.85
14,91388,,Rodrigo Ramos,2,294,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,4.7,0.85
14,73644,,Ivan,2,294,0,0,0,0,0,2,0,0,5,1,0,0,1,0,0,0,0,0,6.2,1.4
14,73644,,Ivan,2,294,0,0,0,0,0,2,0,0,5,1,0,0,1,0,0,0,0,0,6.2,1.4
14,51413,,Walter,1,264,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,16.7,1.9
14,56102,,João Paulo,4,294,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,7,-0.7,-1.1
14,56102,,João Paulo,4,294,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,7,-0.7,-1.1
14,60852,,Uendel,2,264,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,0,0,0,8.1,-0.51
14,71844,,Thiago Galhardo,4,294,0,0,0,1,1,3,0,0,4,0,0,0,3,0,0,0,0,2,6.1,0.53
14,71844,,Thiago Galhardo,4,294,0,0,0,1,1,3,0,0,4,0,0,0,3,0,0,0,0,2,6.1,0.53
14,70944,,Bruno Henrique,4,264,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,4,-1.5,-0.12
14,90031,,Mendoza,5,264,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1.5,-0.31
14,70929,,Negueba,5,294,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,-3.9,-1.66
14,70929,,Negueba,5,294,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,1,0,2,-3.9,-1.66
14,73375,,Felipe,3,264,0,0,0,0,0,2,0,0,4,1,0,0,0,0,0,0,0,0,4.8,0.07
14,80374,,Norberto ,2,294,0,0,0,0,0,2,0,0,2,1,0,0,3,0,0,0,0,3,9.0,0.85
14,80374,,Norberto ,2,294,0,0,0,0,0,2,0,0,2,1,0,0,3,0,0,0,0,3,9.0,0.85
14,88056,,Malcom,5,264,1,0,0,0,0,3,0,0,3,0,0,0,2,0,0,0,0,2,11.0,1.43
14,50880,,Keirrison,5,294,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,-0.4,-1.71
14,50880,,Keirrison,5,294,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,1,-0.4,-1.71
14,73465,,Luccas Claro,3,294,0,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,0,2,7.3,1.61
14,73465,,Luccas Claro,3,294,0,0,0,0,0,1,0,0,2,1,0,0,2,0,0,0,0,2,7.3,1.61
14,38959,,Vagner Love,5,264,0,1,0,1,0,1,0,1,2,0,0,0,1,0,0,0,0,1,6.6,1.06
14,42500,,Fagner,2,264,0,0,0,0,1,0,0,0,7,1,0,0,5,0,0,0,0,1,11.6,0.71
14,38067,,Danilo,4,264,0,0,0,0,0,2,0,1,3,0,0,0,1,0,0,0,0,0,1.3,0.1
14,50462,,Leandro Almeida,3,275,0,0,0,0,0,1,0,1,4,1,0,0,2,0,0,1,0,6,2.2,0.75
14,50462,,Leandro Almeida,3,275,0,0,0,0,0,1,0,1,4,1,0,0,2,0,0,1,0,6,2.2,0.75
14,50462,,Leandro Almeida,3,275,0,0,0,0,0,1,0,1,4,1,0,0,2,0,0,1,0,6,2.2,0.75
14,38398,,Renato Augusto,4,264,0,0,0,0,0,0,0,0,13,0,0,0,1,0,0,0,0,0,-2.2,-0.73
14,45125,,Tite,6,264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.68,-0.01
14,54395,,Elias,4,264,0,0,0,0,1,1,0,0,9,0,0,0,3,0,0,0,0,2,2.6,-1.75
14,52190,,Ralf,4,264,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-0.3,-0.39
14,68744,,Emerson,5,262,0,0,0,0,2,5,0,0,7,0,0,0,3,0,0,1,0,1,4.4,-0.01
14,68744,,Emerson,5,262,0,0,0,0,2,5,0,0,7,0,0,0,3,0,0,1,0,1,4.4,-0.01
14,82456,,Rafhael Lucas,5,294,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.2,-0.13
14,82456,,Rafhael Lucas,5,294,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0.2,-0.13
14,68923,,Gil,3,264,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,2.7,-0.18
14,75295,,Paolo Guerrero,5,262,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,10.9,-0.24
14,75295,,Paolo Guerrero,5,262,1,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,1,10.9,-0.24
14,87999,,Gustavo Scarpa,4,266,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,1,-0.9,-1.95
14,80188,,Marcos Junior,5,266,1,0,0,0,2,6,0,0,3,0,0,0,0,0,0,1,0,1,9.0,1.95
