match_num,player_name_2,team_name_3,player_status
261,Dudu,Palmeiras - SP,out
261,Rafael Marques,Palmeiras - SP,in
261,Erik,Palmeiras - SP,out
261,Leandro,Palmeiras - SP,in
261,Roger Guedes,Palmeiras - SP,out
261,Thiago Santos,Palmeiras - SP,in
261,Edinho,Coritiba - PR,out
261,Alan Santos,Coritiba - PR,in
261,Yan Sasse,Coritiba - PR,out
261,Felipe Amorim,Coritiba - PR,in
261,Cesar Gonzales,Coritiba - PR,out
261,Evandro,Coritiba - PR,in
262,Gabriel Xavier,Sport - PE,out
262,Vinicius Araujo,Sport - PE,in
262,Rogerio,Sport - PE,out
262,Apodi,Sport - PE,in
262,Neto,Sport - PE,out
262,Paulo Roberto,Sport - PE,in
262,Gustavo,Santos - SP,out
262,David Braz,Santos - SP,in
262,Vitor Bueno,Santos - SP,out
262,Elano,Santos - SP,in
262,Rodrigao,Santos - SP,out
262,Sousa,Santos - SP,in
263,Danilo,América - MG,out
263,Tony,América - MG,in
263,Nixon,América - MG,out
263,Michael,América - MG,in
263,Matheusinho,América - MG,out
263,Pablo,América - MG,in
263,Dudu Cearense,Botafogo - RJ,out
263,Pimpao,Botafogo - RJ,in
263,Camilo,Botafogo - RJ,out
263,Leandro,Botafogo - RJ,in
263,Neilton,Botafogo - RJ,out
263,Gervasio,Botafogo - RJ,in
264,Lins,Figueirense - SC,out
264,Ferrugem,Figueirense - SC,in
264,Elvis,Figueirense - SC,out
264,Everton Santos,Figueirense - SC,in
264,Dodo,Figueirense - SC,out
264,Gustavo Ermel,Figueirense - SC,in
264,Derley,Santa Cruz - PE,out
264,Mazinho,Santa Cruz - PE,in
264,Bruno Moraes,Santa Cruz - PE,out
264,Arthur,Santa Cruz - PE,in
264,Matias Pisano,Santa Cruz - PE,out
264,Grafite,Santa Cruz - PE,in
265,Luan,Atlético - PR,out
265,Marcos,Atlético - PR,in
265,Lucas Fernandes,Atlético - PR,out
265,Giovanny,Atlético - PR,in
265,Lucho Gonzalez,Atlético - PR,out
265,Joao Pedro,Atlético - PR,in
265,Fabio,Ponte Preta - SP,out
265,Douglas Groli,Ponte Preta - SP,in
265,Felipe Azevedo,Ponte Preta - SP,out
265,William,Ponte Preta - SP,in
265,Clayson,Ponte Preta - SP,out
265,Wellington Paulista,Ponte Preta - SP,in
266,Diego Renan,Vitória - BA,out
266,Euller,Vitória - BA,in
266,Marinho,Vitória - BA,out
266,Vander,Vitória - BA,in
266,Cardenas,Vitória - BA,out
266,Tiago Real,Vitória - BA,in
266,Luiz,São Paulo - SP,out
266,Daniel,São Paulo - SP,in
266,Mena,São Paulo - SP,out
266,Robson,São Paulo - SP,in
266,Cueva,São Paulo - SP,out
266,Gilberto,São Paulo - SP,in
267,Giovanni Augusto,Corinthians - SP,out
267,Gustavo,Corinthians - SP,in
267,Marlone,Corinthians - SP,out
267,Lucca,Corinthians - SP,in
267,Douglas,Fluminense - RJ,out
267,Marquinho,Fluminense - RJ,in
267,Wellington Silva,Fluminense - RJ,out
267,Magno Alves,Fluminense - RJ,in
267,Marcos Jr,Fluminense - RJ,out
267,Richarlison,Fluminense - RJ,in
268,Everton,Flamengo - RJ,out
268,Alan Patrick,Flamengo - RJ,in
268,Gabriel,Flamengo - RJ,out
268,Fernandinho,Flamengo - RJ,in
268,Marcio Araujo,Flamengo - RJ,out
268,Mancuello,Flamengo - RJ,in
268,Rafael Sobis,Cruzeiro - MG,out
268,Elber,Cruzeiro - MG,in
268,De Arrascaeta,Cruzeiro - MG,out
268,Rafinha,Cruzeiro - MG,in
268,Lucas Romero,Cruzeiro - MG,out
268,Ariel Cabral,Cruzeiro - MG,in
269,H. Almeida,Grêmio - RS,out
269,Guilherme Augusto,Grêmio - RS,in
269,Douglas,Grêmio - RS,out
269,Sandows,Grêmio - RS,in
269,Pedro Rocha,Grêmio - RS,out
269,R. Thyere,Grêmio - RS,in
269,Kempes,Chapecoense - SC,out
269,Alan Ruschel,Chapecoense - SC,in
269,Arthur,Chapecoense - SC,out
269,Ailton,Chapecoense - SC,in
269,Lourency,Chapecoense - SC,out
269,Bruno Rangel,Chapecoense - SC,in
270,Fred,Atlético - MG,out
270,Lucas Pratto,Atlético - MG,in
270,Carlos Cesar,Atlético - MG,out
270,Patric,Atlético - MG,in
270,Cazares,Atlético - MG,out
270,Datolo,Atlético - MG,in
270,Alex,Internacional - RS,out
270,Anderson,Internacional - RS,in
270,Eduardo Sasha,Internacional - RS,out
270,Valdivia,Internacional - RS,in
270,Aylon,Internacional - RS,out
270,Brenner,Internacional - RS,in
