,round_num,team_home,team_away,week_day,time,stadium,referee
0,1,Fluminense - RJ,Santos - SP,Domingo,11:00,Maracanã - Rio de Janeiro - RJ,Wagner Reway
1,1,Flamengo - RJ,Atlético - MG,Sábado,16:00,Maracanã - Rio de Janeiro - RJ,Jailson Macedo Freitas
2,1,Palmeiras - SP,Vasco da Gama - RJ,Domingo,16:00,Allianz Parque - Sao Paulo - SP,Rodolpho Toski Marques
3,1,Corinthians - SP,Chapecoense - SC,Sábado,19:00,Arena Corinthians - Sao Paulo - SP,Elmo Alves Resende Cunha
4,1,Cruzeiro - MG,São Paulo - SP,Domingo,16:00,Mineirão - Belo Horizonte - MG,Marcelo de Lima Henrique
5,1,Coritiba - PR,Atlético - GO,Segunda,20:00,Couto Pereira - Curitiba - PR,Luiz César de Oliveira Magalhães
6,1,Grêmio - RS,Botafogo - RJ,Domingo,19:00,Arena do Grêmio - Porto Alegre - RS,Braulio da Silva Machado
7,1,Bahia - BA,Atlético - PR,Domingo,16:00,Arena Fonte Nova - Salvador - BA,Flavio Rodrigues de Souza
8,1,Ponte Preta - SP,Sport - PE,Domingo,16:00,Moisés Lucarelli - Campinas - SP,Marcos Mateus Pereira
9,1,Avaí - SC,Vitória - BA,Domingo,16:00,Ressacada - Florianopolis - SC,Felipe Gomes da Silva
10,2,Botafogo - RJ,Ponte Preta - SP,Domingo,18:00,Nilton Santos - Rio de Janeiro - RJ,Rafael Traci
11,2,Vasco da Gama - RJ,Bahia - BA,Domingo,11:00,São Januário - Rio de Janeiro - RJ,Leandro Bizzio Marinho
12,2,Santos - SP,Coritiba - PR,Sábado,16:00,Vila Belmiro - Santos - SP,Wagner do Nascimento Magalhaes
13,2,São Paulo - SP,Avaí - SC,Segunda,20:00,Morumbi - Sao Paulo - SP,Caio Max Augusto Vieira
14,2,Atlético - MG,Fluminense - RJ,Domingo,16:00,Independência - Belo Horizonte - MG,Jean Pierre Goncalves Lima
15,2,Atlético - PR,Grêmio - RS,Domingo,16:00,Arena da Baixada - Curitiba - PR,Marcelo Aparecido R de Souza
16,2,Sport - PE,Cruzeiro - MG,Domingo,19:00,Ilha do Retiro - Recife - PE,Joao Batista de Arruda
17,2,Vitória - BA,Corinthians - SP,Domingo,16:00,Arena Fonte Nova - Salvador - BA,Pericles Bassols Pegado Cortez
18,2,Atlético - GO,Flamengo - RJ,Sábado,19:00,Serra Dourada - Goiania - GO,Igor Junio Benevenuto
19,2,Chapecoense - SC,Palmeiras - SP,Sábado,19:00,Arena Condá - Chapeco - SC,Andre Luiz de Freitas Castro
20,3,Botafogo - RJ,Bahia - BA,Domingo,19:00,Nilton Santos - Rio de Janeiro - RJ,Rodolpho Toski Marques
21,3,Vasco da Gama - RJ,Fluminense - RJ,Sábado,16:00,São Januário - Rio de Janeiro - RJ,Raphael Claus
22,3,Santos - SP,Cruzeiro - MG,Domingo,16:00,Vila Belmiro - Santos - SP,Eduardo Tomaz de Aquino Valadao
23,3,São Paulo - SP,Palmeiras - SP,Sábado,19:00,Morumbi - Sao Paulo - SP,Anderson Daronco
24,3,Atlético - MG,Ponte Preta - SP,Domingo,11:00,Independência - Belo Horizonte - MG,Wagner do Nascimento Magalhaes
25,3,Atlético - PR,Flamengo - RJ,Domingo,16:00,Arena da Baixada - Curitiba - PR,Braulio da Silva Machado
26,3,Sport - PE,Grêmio - RS,Domingo,18:00,Ilha do Retiro - Recife - PE,Jailson Macedo Freitas
27,3,Vitória - BA,Coritiba - PR,Sábado,21:00,Arena Fonte Nova - Salvador - BA,Vinicius Goncalves Dias Araujo
28,3,Atlético - GO,Corinthians - SP,Domingo,16:00,Serra Dourada - Goiania - GO,Paulo H Schleich Vollkopf
29,3,Chapecoense - SC,Avaí - SC,Segunda,20:00,Arena Condá - Chapeco - SC,Marcelo de Lima Henrique
30,4,Fluminense - RJ,Vitória - BA,Sábado,18:00,Maracanã - Rio de Janeiro - RJ,Ricardo Marques Ribeiro
31,4,Flamengo - RJ,Botafogo - RJ,Domingo,11:00,Raulino de Oliveira - Volta Redonda - RJ,Dewson Fernando Freitas da Silva
32,4,Palmeiras - SP,Atlético - MG,Domingo,16:00,Allianz Parque - Sao Paulo - SP,Marcelo de Lima Henrique
33,4,Corinthians - SP,Santos - SP,Sábado,19:00,Arena Corinthians - Sao Paulo - SP,Anderson Daronco
34,4,Cruzeiro - MG,Chapecoense - SC,Domingo,19:00,Mineirão - Belo Horizonte - MG,Claudio Francisco Lima E Silva
