round_num,player_id,player_name,player_nickname,position,team_id,G,A,FT,FD,FF,FS,PP,I,PE,SG,DP,DD,RB,GC,CV,CA,GS,FC,total_score,current_price,price_delta
19,36612,,Zé Roberto,LAT,275,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,2.7,-0.37,-0.37
19,37281,,Mano Menezes,TEC,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,-0.69,-0.69
19,37306,,Gilson Kleina,TEC,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0.23,0.23
19,37604,,Paulo André,ZAG,293,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,2.2,-0.35,-0.35
19,37607,,Michel Bastos,MEI,275,0,0,0,0,1,2,0,1,3,0,0,0,2,0,0,1,0,1,1.2,0.09,0.09
19,37644,,Rodrigo,ZAG,303,0,0,0,2,1,2,0,1,2,1,0,0,1,0,0,1,0,1,6.8,0.04,0.04
19,37646,,Betão,ZAG,314,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,7.2,1.73,1.73
19,37656,,Fábio,GOL,283,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,4.4,-0.67,-0.67
19,37657,,Edu Dracena,ZAG,275,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1.7,-0.63,-0.63
19,37662,,Jonathan,LAT,293,0,0,0,0,0,1,0,0,1,1,0,0,2,0,0,0,0,0,8.6,0.38,0.38
19,37673,,Alecsandro,ATA,294,1,0,0,0,0,7,0,0,2,0,0,0,1,0,0,0,0,0,12.6,2.1,2.1
19,37701,,Léo Moura,LAT,284,0,0,0,0,0,1,0,2,6,1,0,0,0,0,0,0,0,2,1.7,-0.74,-0.74
19,37705,,Juan,MEI,314,0,0,1,0,2,0,0,0,3,0,0,0,1,0,0,0,0,2,4.7,1.47,1.47
19,37798,,Rafael Sobis,ATA,283,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,-1.4,-0.51,-0.51
19,37934,,Roger Bernardo,MEI,282,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,3,0.4,-0.84,-0.84
19,37984,,Aranha,GOL,303,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5.0,1.13,1.13
19,38100,,Durval,ZAG,292,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,1,4.9,0.94,0.94
19,38138,,Jô,ATA,264,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,2.0,-0.98,-0.98
19,38140,,Fernando Prass,GOL,275,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,4.0,0.22,0.22
19,38196,,Maicon,MEI,284,0,0,0,0,0,1,0,0,5,0,0,0,3,0,0,1,0,4,0.1,-0.16,-0.16
19,38246,,Robinho,ATA,282,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,-2.3,-0.75,-0.75
19,38277,,Thiago Neves,MEI,283,0,0,0,1,1,2,0,0,5,0,0,0,0,0,0,0,0,0,1.2,-1.02,-1.02
19,38394,,Thiago Heleno,ZAG,293,1,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,13.7,1.1,1.1
19,38421,,Rafinha,MEI,283,0,0,1,0,0,0,0,0,5,0,0,0,1,0,0,0,0,2,2.7,0.38,0.38
19,38509,,Diego Alves,GOL,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,-4.0,-0.63,-0.63
19,38648,,Hernanes,MEI,276,1,0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,8.9,1.09,1.09
19,38908,,Renato,MEI,277,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,1,2.3,0.45,0.45
19,38909,,Diego,MEI,262,0,0,0,1,1,5,0,1,5,0,0,0,3,0,0,1,0,1,4.8,0.02,0.02
19,38910,,Ricardo Oliveira,ATA,277,0,0,0,0,2,1,0,0,2,0,0,0,0,0,0,0,0,0,1.3,-1.15,-1.15
19,38928,,Dudu Cearense,MEI,263,0,0,0,0,0,3,0,0,5,0,0,0,0,0,0,1,0,0,-2.0,-1.01,-1.01
19,39850,,Vagner Mancini,TEC,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.35,0.22,0.22
19,40006,,Abel Braga,TEC,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0.1,0.1
19,40025,,Levir Culpi,TEC,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.33,0.24,0.24
19,40990,,Dorival Júnior,TEC,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,-0.06,-0.06
