team_name_2	wealth_score
Sociedade Esportiva Palmeiras	1,9
São Paulo Futebol Clube	1,5
Santos FC	1,4
Grêmio Foot-Ball Porto Alegrense	1,4
Clube de Regatas do Flamengo	1,4
Cruzeiro Esporte Clube	1,3
Sport Club Corinthians Paulista	1,3
Clube Atlético Mineiro	1,3
Sport Club Internacional	1,2
Esporte Clube Vitória	0,9
Club de Regatas Vasco da Gama	0,9
Club Athletico Paranaense	0,8
Esporte Clube Bahia	0,7
Associação Chapecoense de Futebol	0,7
Sport Club do Recife	0,6
Fluminense Football Club	0,6
América Futebol Clube (MG)	0,6
Ceará Sporting Club	0,6
Botafogo de Futebol e Regatas	0,5
Paraná Clube	0,4
