match_num,player_name_2,player_team,player_status
211,Leonardo,Vitória - BA,out
211,Lucas Fernandes,Vitória - BA,in
211,Yago Felipe,Vitória - BA,out
211,Andre Lima,Vitória - BA,in
211,Jose Rodrigo Andrade Ramos,Vitória - BA,out
211,Marcelo Meli,Vitória - BA,in
211,Aderlan,América - MG,out
211,Marquinhos,América - MG,in
211,Luan,América - MG,out
211,Wesley,América - MG,in
211,Neto,América - MG,out
211,Robinho,América - MG,in
212,Jael,Grêmio - RS,out
212,Andre,Grêmio - RS,in
212,Cicero,Grêmio - RS,out
212,Douglas,Grêmio - RS,in
212,Maicon,Grêmio - RS,out
212,Alisson,Grêmio - RS,in
212,Brenner,Botafogo - RJ,out
212,Aguirre,Botafogo - RJ,in
212,Matheus Fernandes,Botafogo - RJ,out
212,Marcelo,Botafogo - RJ,in
212,Luiz Fernando,Botafogo - RJ,out
212,Pimpao,Botafogo - RJ,in
213,Andrey,Vasco da Gama - RJ,out
213,Andy,Vasco da Gama - RJ,in
213,Kelvin,Vasco da Gama - RJ,out
213,Thiago,Vasco da Gama - RJ,in
213,Eduardo Sasha,Santos - SP,out
213,Derlis Gonzalez,Santos - SP,in
213,Rodrygo,Santos - SP,out
213,Copete,Santos - SP,in
213,Carlos Sanchez,Santos - SP,out
213,Sousa,Santos - SP,in
214,Roger,Corinthians - SP,out
214,Danilo,Corinthians - SP,in
214,Angel Romero,Corinthians - SP,out
214,Mateus,Corinthians - SP,in
214,Angelo Araos,Corinthians - SP,out
214,Rodrigo,Corinthians - SP,in
214,Adilson,Atlético - MG,out
214,M. Galdezani,Atlético - MG,in
214,Luan,Atlético - MG,out
214,David Terans,Atlético - MG,in
214,Chará,Atlético - MG,out
214,Tomas Andrade,Atlético - MG,in
215,Henrique Dourado,Flamengo - RJ,out
215,Lincoln,Flamengo - RJ,in
215,Marlos Moreno,Flamengo - RJ,out
215,Vitinho,Flamengo - RJ,in
215,Piris,Flamengo - RJ,out
215,URIBE,Flamengo - RJ,in
215,Arthur,Ceará - CE,out
215,Arnaldo,Ceará - CE,in
215,Joao Lucas,Ceará - CE,out
215,Brock,Ceará - CE,in
215,Calyson,Ceará - CE,out
215,Felipe Azevedo,Ceará - CE,in
216,Marcinho,Atlético - PR,out
216,Roni,Atlético - PR,in
216,Pablo,Atlético - PR,out
216,Bergson,Atlético - PR,in
216,Raphael Veiga,Atlético - PR,out
216,Bruno Nazario,Atlético - PR,in
216,Douglas,Bahia - BA,out
216,Fernando,Bahia - BA,in
216,Bruno,Bahia - BA,out
216,Nino Paraiba,Bahia - BA,in
216,Edigar Junio,Bahia - BA,out
216,Clayton,Bahia - BA,in
217,Edimar,São Paulo - SP,out
217,Régis Souza,São Paulo - SP,in
217,Igor,São Paulo - SP,out
217,Luan Silva,São Paulo - SP,in
217,Shaylon,São Paulo - SP,out
217,Santiago,São Paulo - SP,in
217,Kayke,Fluminense - RJ,out
217,Matheus Alessandro,Fluminense - RJ,in
217,Jadson,Fluminense - RJ,out
217,Junior Dutra,Fluminense - RJ,in
217,Sornoza,Fluminense - RJ,out
217,Luciano,Fluminense - RJ,in
218,Rogerio,Sport - PE,out
218,Marlone,Sport - PE,in
218,Gabriel,Sport - PE,out
218,Ronaldo,Sport - PE,in
218,Nonoca,Sport - PE,out
218,Neto,Sport - PE,in
218,Silvinho,Paraná - PR,out
218,Carlos Alberto Carvalho,Paraná - PR,in
218,Alex,Paraná - PR,out
218,Rodolfo,Paraná - PR,in
218,Jhonny,Paraná - PR,out
218,Wesley,Paraná - PR,in
219,Osman,Chapecoense - SC,out
219,Agustin,Chapecoense - SC,in
219,Elicarlos,Chapecoense - SC,out
219,Hector,Chapecoense - SC,in
219,Diego Torres,Chapecoense - SC,out
219,Yann,Chapecoense - SC,in
219,Victor,Palmeiras - SP,out
219,Diogo,Palmeiras - SP,in
219,Mayke,Palmeiras - SP,out
219,Jean,Palmeiras - SP,in
219,Lucas Lima,Palmeiras - SP,out
219,Bruno,Palmeiras - SP,in
220,Bruno Silva,Cruzeiro - MG,out
220,Rafinha,Cruzeiro - MG,in
220,Raniel Santana de Vasconcelos,Cruzeiro - MG,out
220,Barcos,Cruzeiro - MG,in
220,Ariel Cabral,Cruzeiro - MG,out
220,Mancuello,Cruzeiro - MG,in
220,Zeca,Internacional - RS,out
220,Fabiano,Internacional - RS,in
220,Nico Lopez,Internacional - RS,out
220,Dalessandro,Internacional - RS,in
220,JONATAN ALVEZ,Internacional - RS,out
220,Leandro Damiao,Internacional - RS,in
