,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
0,Vico,95622,284,https://s.glbimg.com/es/sde/f/2018/05/21/8e861efae6f1b9924b64cb068b7855b8_FORMATO.png,0,0.0,Marcus Vinicius Aredes Duarte,0.0,5,1.0,6,{},vico,6,0.0
1,Felipe Vizeu,94138,284,https://s.glbimg.com/es/sde/f/2019/04/17/8b7d801745d2cddf31bb8885e947242a_FORMATO.png,6,1.0,Felipe dos Reis Pereira Vizeu do Carmo,7.1,5,3.63,6,"{'FC': 4, 'FF': 1, 'FS': 2, 'G': 1, 'PE': 6}",felipe-vizeu,7,1.73
2,Luan,86759,284,https://s.glbimg.com/es/sde/f/2018/05/21/c01a0fcc9657bf0df6cfde4356ece5bc_FORMATO.png,4,3.0,Luan Guilherme de Jesus Vieira,0.0,5,10.15,6,"{'A': 1, 'FC': 2, 'FD': 4, 'FS': 5, 'FT': 1, 'I': 1, 'PE': 11, 'RB': 1}",luan,5,0.0
3,Rodriguez,91251,284,https://s.glbimg.com/es/sde/f/2018/08/09/e6b3f5b4c7922f94ca18791b3af1f390_FORMATO.png,1,10.0,Antônio Josenildo Rodrigues de Oliveira,10.0,3,4.03,6,"{'A': 1, 'SG': 1}",rodriguez,7,2.03
4,Marinho,68952,277,https://s.glbimg.com/es/sde/f/2019/05/30/cd8a7f9b0744e105efa0a0c572d37d6f_FORMATO.png,2,2.6,Mário Sérgio Santos Costa,0.0,5,5.74,6,"{'CA': 1, 'FC': 2, 'FD': 1, 'FF': 2, 'FS': 3, 'PE': 2, 'RB': 3}",marinho,2,0.0
5,Alisson,81845,284,https://s.glbimg.com/es/sde/f/2018/05/18/eeeced6e37969b2b8161eb83c56d069e_FORMATO.png,4,4.6,Alisson Euler de Freitas Castro,5.4,4,7.35,6,"{'A': 2, 'CA': 1, 'FC': 5, 'FD': 3, 'FS': 6, 'PE': 9, 'RB': 6}",alisson,5,0.59
6,Leonardo,86973,284,https://s.glbimg.com/es/sde/f/2018/05/21/15d96549307788253f2aba10bff0c973_FORMATO.png,5,2.96,Leonardo Gomes da Conceição Silva,7.5,2,6.32,6,"{'CA': 2, 'FC': 4, 'FD': 3, 'FF': 2, 'FS': 1, 'PE': 8, 'RB': 5, 'SG': 2}",leonardo,7,1.49
7,Michel,71920,284,https://s.glbimg.com/es/sde/f/2018/05/21/85cd3dd4979fed2379f69e0aeeaee152_FORMATO.png,5,0.8,Michel Ferreira dos Santos,1.1,4,4.04,6,"{'CA': 1, 'FC': 11, 'FD': 2, 'FF': 1, 'GC': 2, 'PE': 4, 'RB': 13}",michel,7,0.68
8,Jean Pyerre,98832,284,https://s.glbimg.com/es/sde/f/2019/05/28/8d48c0a56b2e5448d42d4e66649d976d_FORMATO.png,3,5.57,Jean Pyerre Casagrande Silveira Correa,3.1,4,8.6,6,"{'FC': 1, 'FD': 1, 'FF': 5, 'FS': 2, 'G': 1, 'PE': 5, 'RB': 3}",jean-pyerre,2,-0.71
9,Juninho Capixaba,94968,284,https://s.glbimg.com/es/sde/f/2018/07/25/49d7d2f3cc1d0ef8b78666c591c1128d_FORMATO.png,4,5.48,Luis Antônio da Rocha Júnior,6.7,2,8.08,6,"{'CA': 2, 'FC': 11, 'FS': 11, 'PE': 7, 'RB': 12, 'SG': 2}",juninho-capixaba,7,1.25
10,Thaciano,87470,284,https://s.glbimg.com/es/sde/f/2018/05/21/8805a9e1e4f2ee609adb3d2576d5ff0a_FORMATO.png,4,0.95,Thaciano Mickael da Silva,-0.3,4,3.38,6,"{'FC': 2, 'FF': 1, 'FS': 1, 'I': 2, 'PE': 5, 'RB': 4}",thaciano,7,-0.41
11,Pepê,91201,284,https://s.glbimg.com/es/sde/f/2018/07/31/21dbd08feda4a4caf00ffc5fe75ec14b_FORMATO.png,2,-1.95,Eduardo Gabriel Aquino Cossa,0.0,5,2.45,6,"{'CA': 1, 'FC': 1, 'I': 1, 'PE': 3}",pepe,7,0.0
12,Thonny Anderson,101484,293,https://s.glbimg.com/es/sde/f/2019/05/18/9c926f399fb16f3629089771a4b5a9b6_FORMATO.png,2,1.1,Thonny Anderson da Silva Carvalho,2.9,4,3.49,6,"{'FC': 3, 'FD': 1, 'FF': 1, 'FS': 3, 'I': 2, 'PE': 6, 'RB': 2}",thonny-anderson,2,0.73
13,Diego Alves,38509,262,https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png,3,0.67,Diego Alves Carreira,5.0,1,4.2,6,"{'DD': 4, 'GS': 5}",diego-alves,7,1.65
