,apelido,atleta_id,clube_id,foto,jogos_num,media_num,nome,pontos_num,posicao_id,preco_num,rodada_id,scout,slug,status_id,variacao_num
0,Cássio,42234,264,https://s.glbimg.com/es/sde/f/2019/02/06/9258d13c7118866a900f113f3efe91fe_FORMATO.png,3,0.4,Cássio Ramos,0.7,1,3.9,3,"{'CA': 1, 'DD': 2, 'FS': 1, 'GS': 4, 'PE': 1, 'SG': 1}",cassio,7,-0.73
1,Uilson,85418,282,https://s.glbimg.com/es/sde/f/2018/05/07/9c69736d87e93ac80d7f38013cb1c1e7_FORMATO.png,0,0.0,Uilson Pedruzzi de Oliveira,0.0,1,3.0,3,{},uilson,5,0.0
2,Gabriel,83257,262,https://s.glbimg.com/es/sde/f/2019/04/26/dd35120796b86e57f5dcbd4aec56cbce_FORMATO.png,2,6.45,Gabriel Barbosa Almeida,0.0,5,16.91,3,"{'CA': 1, 'FC': 1, 'FD': 3, 'FF': 2, 'FS': 4, 'G': 1, 'I': 2, 'PE': 6, 'RB': 2}",gabriel,7,0.0
3,Diego Alves,38509,262,https://s.glbimg.com/es/sde/f/2019/04/26/7bdeffe6895011f6895be4a6de311fbe_FORMATO.png,0,0.0,Diego Alves Carreira,0.0,1,5.0,3,{},diego-alves,5,0.0
4,Renê,78445,262,https://s.glbimg.com/es/sde/f/2019/04/26/f7f5e18054dd2e487e3f2851ce8e28b7_FORMATO.png,2,-0.25,Renê Rodrigues Martins,0.0,2,6.02,3,"{'CA': 1, 'FC': 2, 'FS': 2, 'PE': 5, 'RB': 2}",rene,7,0.0
5,Kannemann,87342,284,https://s.glbimg.com/es/sde/f/2018/05/21/7a4b8f949ed4d8b668d8c40a33e50edb_FORMATO.png,2,2.05,Walter Kannemann,3.7,3,14.12,3,"{'CA': 2, 'FC': 7, 'FS': 3, 'G': 1, 'PE': 3, 'RB': 2}",kannemann,7,-3.5
6,Bruno Henrique,90285,262,https://s.glbimg.com/es/sde/f/2019/04/26/195ab3662b5fad11e635fd74d6a2f401_FORMATO.png,3,6.17,Bruno Henrique Pinto,-0.5,5,18.85,3,"{'CA': 1, 'FC': 3, 'FD': 2, 'FF': 4, 'FS': 3, 'G': 2, 'I': 1, 'PE': 2}",bruno-henrique,7,-1.92
7,Fábio,37656,283,https://s.glbimg.com/es/sde/f/2018/05/18/d4072db4bdda7615aec2517449afe555_FORMATO.png,3,6.33,Fábio Deivson Lopes Maciel,1.0,1,11.59,3,"{'DD': 5, 'DP': 1, 'GS': 4, 'SG': 1}",fabio,7,-2.18
8,Pedro Geromel,80853,284,https://s.glbimg.com/es/sde/f/2018/05/21/afc76ea4e9c31e2977ea5e9a90c802b3_FORMATO.png,2,4.3,Pedro Tonon Geromel,0.0,3,11.61,3,"{'CA': 1, 'FC': 1, 'FF': 1, 'FS': 2, 'PE': 4, 'RB': 7}",pedro-geromel,7,0.0
9,Fagner,42500,264,https://s.glbimg.com/es/sde/f/2019/03/18/d5cd825ae9a3b7963ead1566162c7d54_FORMATO.png,2,8.75,Fagner Conserva Lemos,0.0,2,11.32,3,"{'CA': 1, 'FC': 1, 'FD': 1, 'FS': 6, 'PE': 4, 'RB': 8, 'SG': 1}",fagner,7,0.0
