round_num,date
38,01/12/2018
38,01/12/2018
38,02/12/2018
38,02/12/2018
38,02/12/2018
38,02/12/2018
38,02/12/2018
38,02/12/2018
38,02/12/2018
38,02/12/2018
37,24/11/2018
37,25/11/2018
37,25/11/2018
37,25/11/2018
37,25/11/2018
37,25/11/2018
37,25/11/2018
37,25/11/2018
37,26/11/2018
37,26/11/2018
36,21/11/2018
36,21/11/2018
36,21/11/2018
36,21/11/2018
36,21/11/2018
36,21/11/2018
36,22/11/2018
36,22/11/2018
36,22/11/2018
36,22/11/2018
35,17/11/2018
35,17/11/2018
35,17/11/2018
35,18/11/2018
35,18/11/2018
35,18/11/2018
35,18/11/2018
35,18/11/2018
35,18/11/2018
35,19/11/2018
34,14/11/2018
34,14/11/2018
34,14/11/2018
34,14/11/2018
34,14/11/2018
34,14/11/2018
34,15/11/2018
34,15/11/2018
34,15/11/2018
34,15/11/2018
33,10/11/2018
33,10/11/2018
33,10/11/2018
33,10/11/2018
33,11/11/2018
33,11/11/2018
33,11/11/2018
33,11/11/2018
33,11/11/2018
33,12/11/2018
32,03/11/2018
32,03/11/2018
32,03/11/2018
32,04/11/2018
32,04/11/2018
32,04/11/2018
32,04/11/2018
32,04/11/2018
32,04/11/2018
32,05/11/2018
31,26/10/2018
31,26/10/2018
31,27/10/2018
31,27/10/2018
31,27/10/2018
31,27/10/2018
31,27/10/2018
31,27/10/2018
31,27/10/2018
31,29/10/2018
30,20/10/2018
30,20/10/2018
30,20/10/2018
30,20/10/2018
30,21/10/2018
30,21/10/2018
30,21/10/2018
30,21/10/2018
30,21/10/2018
30,22/10/2018
29,13/10/2018
29,13/10/2018
29,13/10/2018
29,14/10/2018
29,14/10/2018
29,14/10/2018
29,14/10/2018
29,14/10/2018
29,14/10/2018
29,15/10/2018
28,05/10/2018
28,05/10/2018
28,05/10/2018
28,06/10/2018
28,06/10/2018
28,06/10/2018
28,06/10/2018
28,08/10/2018
28,09/10/2018
28,24/10/2018
27,29/09/2018
27,29/09/2018
27,29/09/2018
27,30/09/2018
27,30/09/2018
27,30/09/2018
27,30/09/2018
27,30/09/2018
27,30/09/2018
27,01/10/2018
26,22/09/2018
26,23/09/2018
26,23/09/2018
26,23/09/2018
26,23/09/2018
26,23/09/2018
26,23/09/2018
26,23/09/2018
26,24/09/2018
26,24/09/2018
25,15/09/2018
25,15/09/2018
25,15/09/2018
25,16/09/2018
25,16/09/2018
25,16/09/2018
25,16/09/2018
25,16/09/2018
25,16/09/2018
25,17/09/2018
24,08/09/2018
24,08/09/2018
24,08/09/2018
24,09/09/2018
24,09/09/2018
24,09/09/2018
24,09/09/2018
24,09/09/2018
24,09/09/2018
24,10/09/2018
23,05/09/2018
23,05/09/2018
23,05/09/2018
23,05/09/2018
23,05/09/2018
23,05/09/2018
23,05/09/2018
23,06/09/2018
23,06/09/2018
23,06/09/2018
22,01/09/2018
22,01/09/2018
22,01/09/2018
22,01/09/2018
22,02/09/2018
22,02/09/2018
22,02/09/2018
22,02/09/2018
22,02/09/2018
22,02/09/2018
21,25/08/2018
21,25/08/2018
21,25/08/2018
21,25/08/2018
21,25/08/2018
21,26/08/2018
21,26/08/2018
21,26/08/2018
21,26/08/2018
21,26/08/2018
20,08/08/2018
20,22/08/2018
20,22/08/2018
20,22/08/2018
20,22/08/2018
20,22/08/2018
20,22/08/2018
20,23/08/2018
20,23/08/2018
20,13/09/2018
19,18/08/2018
19,18/08/2018
19,19/08/2018
19,19/08/2018
19,19/08/2018
19,19/08/2018
19,19/08/2018
19,19/08/2018
19,19/08/2018
19,20/08/2018
18,11/08/2018
18,11/08/2018
18,12/08/2018
18,12/08/2018
18,12/08/2018
18,12/08/2018
18,12/08/2018
18,12/08/2018
18,12/08/2018
18,13/08/2018
17,04/08/2018
17,04/08/2018
17,04/08/2018
17,05/08/2018
17,05/08/2018
17,05/08/2018
17,05/08/2018
17,05/08/2018
17,05/08/2018
17,06/08/2018
16,28/07/2018
16,29/07/2018
16,29/07/2018
16,29/07/2018
16,29/07/2018
16,29/07/2018
16,29/07/2018
16,29/07/2018
16,29/07/2018
16,30/07/2018
15,25/07/2018
15,25/07/2018
15,25/07/2018
15,25/07/2018
15,26/07/2018
15,26/07/2018
15,26/07/2018
15,26/07/2018
15,29/08/2018
15,29/08/2018
14,21/07/2018
14,21/07/2018
14,22/07/2018
14,22/07/2018
14,22/07/2018
14,22/07/2018
14,22/07/2018
14,22/07/2018
14,22/07/2018
14,23/07/2018
13,18/07/2018
13,18/07/2018
13,18/07/2018
13,18/07/2018
13,18/07/2018
13,19/07/2018
13,19/07/2018
13,19/07/2018
13,19/07/2018
13,19/07/2018
12,12/06/2018
12,13/06/2018
12,13/06/2018
12,13/06/2018
12,13/06/2018
12,13/06/2018
12,13/06/2018
12,13/06/2018
12,13/06/2018
12,13/06/2018
11,09/06/2018
11,09/06/2018
11,09/06/2018
11,09/06/2018
11,10/06/2018
11,10/06/2018
11,10/06/2018
11,10/06/2018
11,10/06/2018
11,10/06/2018
10,05/06/2018
10,06/06/2018
10,06/06/2018
10,06/06/2018
10,06/06/2018
10,06/06/2018
10,06/06/2018
10,07/06/2018
10,07/06/2018
10,07/06/2018
9,02/06/2018
9,02/06/2018
9,02/06/2018
9,02/06/2018
9,03/06/2018
9,03/06/2018
9,03/06/2018
9,03/06/2018
9,03/06/2018
9,04/06/2018
8,30/05/2018
8,30/05/2018
8,30/05/2018
8,30/05/2018
8,30/05/2018
8,30/05/2018
8,30/05/2018
8,31/05/2018
8,31/05/2018
8,31/05/2018
7,26/05/2018
7,26/05/2018
7,26/05/2018
7,27/05/2018
7,27/05/2018
7,27/05/2018
7,27/05/2018
7,27/05/2018
7,27/05/2018
7,27/05/2018
6,19/05/2018
6,19/05/2018
6,19/05/2018
6,20/05/2018
6,20/05/2018
6,20/05/2018
6,20/05/2018
6,20/05/2018
6,20/05/2018
6,21/05/2018
5,12/05/2018
5,13/05/2018
5,13/05/2018
5,13/05/2018
5,13/05/2018
5,13/05/2018
5,13/05/2018
5,13/05/2018
5,14/05/2018
5,14/05/2018
4,05/05/2018
4,05/05/2018
4,06/05/2018
4,06/05/2018
4,06/05/2018
4,06/05/2018
4,06/05/2018
4,06/05/2018
4,06/05/2018
4,07/05/2018
3,28/04/2018
3,29/04/2018
3,29/04/2018
3,29/04/2018
3,29/04/2018
3,29/04/2018
3,29/04/2018
3,29/04/2018
3,30/04/2018
3,27/09/2018
2,21/04/2018
2,21/04/2018
2,22/04/2018
2,22/04/2018
2,22/04/2018
2,22/04/2018
2,22/04/2018
2,22/04/2018
2,22/04/2018
2,23/04/2018
1,14/04/2018
1,14/04/2018
1,14/04/2018
1,15/04/2018
1,15/04/2018
1,15/04/2018
1,15/04/2018
1,15/04/2018
1,16/04/2018
1,16/04/2018
